transaction_id,customer_id,merchant_id,amount,is_fraudulent,card_type,location,purchase_category,customer_age
1,1082,2027,5758.59,0,MasterCard,City-30,Gas Station,43
2,1015,2053,1901.56,1,Visa,City-47,Online Shopping,61
3,1004,2035,1248.86,1,MasterCard,City-6,Gas Station,57
4,1095,2037,7619.05,1,Discover,City-6,Travel,59
5,1036,2083,1890.1,1,MasterCard,City-34,Retail,36
6,1032,2021,8487.68,1,American Express,City-1,Gas Station,43
7,1029,2033,7565.3,1,Visa,City-7,Online Shopping,19
8,1018,2088,2284.88,0,American Express,City-46,Travel,40
9,1095,2077,3952.73,0,American Express,City-45,Groceries,43
10,1014,2031,8362.04,0,Visa,City-25,Restaurant,55
11,1087,2052,2974.23,1,MasterCard,City-29,Retail,70
12,1095,2031,4128.7,0,Discover,City-45,Travel,27
13,1070,2015,6409.54,1,American Express,City-30,Restaurant,46
14,1012,2020,2190.4,1,Visa,City-19,Gas Station,34
15,1076,2025,2516.99,1,MasterCard,City-13,Retail,41
16,1055,2004,3454.14,1,Discover,City-25,Retail,19
17,1005,2032,2415.3,1,Visa,City-4,Online Shopping,41
18,1004,2040,79.76,0,Visa,City-17,Restaurant,64
19,1012,2060,8906.66,1,Visa,City-35,Travel,62
20,1028,2063,6838.47,1,Discover,City-40,Groceries,44
21,1030,2072,2821.68,1,MasterCard,City-1,Groceries,57
22,1065,2056,1621.03,0,MasterCard,City-38,Retail,40
23,1078,2055,625.58,0,Visa,City-34,Online Shopping,60
24,1004,2083,4944.29,1,Discover,City-22,Retail,51
25,1072,2005,9027.91,0,Visa,City-39,Groceries,28
26,1026,2026,613.44,1,MasterCard,City-10,Travel,42
27,1092,2021,7558.94,0,Visa,City-29,Restaurant,23
28,1084,2035,4306.65,1,American Express,City-7,Groceries,45
29,1090,2018,6743.61,1,American Express,City-17,Groceries,65
30,1070,2004,8987.41,0,MasterCard,City-15,Online Shopping,55
31,1054,2034,4464.86,1,MasterCard,City-44,Gas Station,24
32,1029,2036,9771.9,1,American Express,City-27,Online Shopping,30
33,1058,2085,6748.27,1,Discover,City-37,Retail,35
34,1076,2071,3190.8,0,Visa,City-50,Gas Station,32
35,1036,2023,7716.15,1,MasterCard,City-18,Online Shopping,58
36,1001,2083,9145.62,1,MasterCard,City-31,Retail,66
37,1098,2006,6983.78,0,MasterCard,City-17,Restaurant,51
38,1021,2093,6059.01,1,Visa,City-39,Travel,61
39,1090,2063,9593.37,0,American Express,City-14,Groceries,66
40,1055,2003,5696.32,0,Discover,City-41,Online Shopping,22
41,1044,2008,7274.22,0,American Express,City-20,Online Shopping,27
42,1036,2011,3197.45,1,Visa,City-50,Restaurant,66
43,1020,2041,3587.54,1,Discover,City-31,Gas Station,39
44,1028,2078,8111.54,0,American Express,City-25,Online Shopping,53
45,1098,2039,3710.73,0,Discover,City-45,Groceries,21
46,1044,2009,3009.47,0,Visa,City-34,Restaurant,29
47,1014,2053,4895.98,1,MasterCard,City-35,Groceries,38
48,1012,2047,5463.71,1,MasterCard,City-38,Online Shopping,43
49,1049,2086,7452.24,0,MasterCard,City-14,Retail,28
50,1013,2085,2288.84,1,Visa,City-46,Online Shopping,23
51,1046,2012,1713.82,0,Visa,City-33,Groceries,56
52,1045,2051,6911.74,1,Discover,City-27,Retail,46
53,1078,2093,4103.23,0,Visa,City-6,Travel,35
54,1034,2018,8800.95,0,American Express,City-26,Retail,48
55,1006,2031,3250.43,0,Visa,City-41,Restaurant,45
